"CONCEPT_CD","LAB_NAME","SEX","AGE_LOWER","AGE_UPPER","REF_LO","REF_HI"
"KUH|COMPONENT_ID:2070","LDH TOTAL","F",0,30,600,1395
"KUH|COMPONENT_ID:2070","LDH TOTAL","F",30,512,600,1350
"KUH|COMPONENT_ID:2070","LDH TOTAL","F",512,2816,495,1290
"KUH|COMPONENT_ID:2070","LDH TOTAL","F",2816,4352,405,930
"KUH|COMPONENT_ID:2070","LDH TOTAL","F",4352,25600,300,600
"KUH|COMPONENT_ID:2070","LDH TOTAL","M",0,30,600,1395
"KUH|COMPONENT_ID:2070","LDH TOTAL","M",30,512,600,1350
"KUH|COMPONENT_ID:2070","LDH TOTAL","M",512,2816,495,1290
"KUH|COMPONENT_ID:2070","LDH TOTAL","M",2816,4352,405,930
"KUH|COMPONENT_ID:2070","LDH TOTAL","M",4352,25600,300,600
"KUH|COMPONENT_ID:2321","LDL","F",0,25600,,100
"KUH|COMPONENT_ID:2321","LDL","M",0,25600,,100
"KUH|COMPONENT_ID:3028","LYMPHOCYTES","F",0,30,24,48
"KUH|COMPONENT_ID:3028","LYMPHOCYTES","F",30,1536,35,71
"KUH|COMPONENT_ID:3028","LYMPHOCYTES","F",1536,25600,24,44
"KUH|COMPONENT_ID:3028","LYMPHOCYTES","M",0,30,24,48
"KUH|COMPONENT_ID:3028","LYMPHOCYTES","M",30,1536,35,71
"KUH|COMPONENT_ID:3028","LYMPHOCYTES","M",1536,25600,24,44
"KUH|COMPONENT_ID:2020","MAGNESIUM","F",0,25600,1.6,2.6
"KUH|COMPONENT_ID:2020","MAGNESIUM","M",0,25600,1.6,2.6
"KUH|COMPONENT_ID:3043","MCH","F",0,25600,26,34
"KUH|COMPONENT_ID:3043","MCH","M",0,25600,26,34
"KUH|COMPONENT_ID:3044","MCHC","F",0,25600,32,36
"KUH|COMPONENT_ID:3044","MCHC","M",0,25600,32,36
"KUH|COMPONENT_ID:3042","MCV","F",0,25600,80,100
"KUH|COMPONENT_ID:3042","MCV","M",0,25600,80,100
"KUH|COMPONENT_ID:3030","MONOCYTES","F",0,25600,4,12
"KUH|COMPONENT_ID:3030","MONOCYTES","M",0,25600,4,12
"KUH|COMPONENT_ID:3045","MPV (PLATELET)","F",0,25600,7,11
"KUH|COMPONENT_ID:3045","MPV (PLATELET)","M",0,25600,7,11
"KUH|COMPONENT_ID:3010","NEUTROPHILS","F",0,30,43,80
"KUH|COMPONENT_ID:3010","NEUTROPHILS","F",30,1536,28,56
"KUH|COMPONENT_ID:3010","NEUTROPHILS","F",1536,25600,41,77
"KUH|COMPONENT_ID:3010","NEUTROPHILS","M",0,30,43,80
"KUH|COMPONENT_ID:3010","NEUTROPHILS","M",30,1536,28,56
"KUH|COMPONENT_ID:3010","NEUTROPHILS","M",1536,25600,41,77
"KUH|COMPONENT_ID:3026","NEUTROPHILS/100 LEUKOCYTES, SEG","F",0,25600,0,25
"KUH|COMPONENT_ID:3026","NEUTROPHILS/100 LEUKOCYTES, SEG","M",0,25600,0,25
"KUH|COMPONENT_ID:4003","PCO2, ART POC","F",0,14,27,40
"KUH|COMPONENT_ID:4003","PCO2, ART POC","F",14,25600,35,45
"KUH|COMPONENT_ID:4003","PCO2, ART POC","M",0,14,27,40
"KUH|COMPONENT_ID:4003","PCO2, ART POC","M",14,25600,35,45
"KUH|COMPONENT_ID:4001","PH, ART POC","F",0,1,7.29,7.45
"KUH|COMPONENT_ID:4001","PH, ART POC","F",1,25600,7.35,7.45
"KUH|COMPONENT_ID:4001","PH, ART POC","M",0,1,7.29,7.45
"KUH|COMPONENT_ID:4001","PH, ART POC","M",1,25600,7.35,7.45
"KUH|COMPONENT_ID:2033","PHOSPHORUS","F",0,30,4,9
"KUH|COMPONENT_ID:2033","PHOSPHORUS","F",30,256,4,6
"KUH|COMPONENT_ID:2033","PHOSPHORUS","F",256,4608,3,5
"KUH|COMPONENT_ID:2033","PHOSPHORUS","F",4608,25600,2,4
"KUH|COMPONENT_ID:2033","PHOSPHORUS","M",0,30,4,9
"KUH|COMPONENT_ID:2033","PHOSPHORUS","M",30,256,4,6
"KUH|COMPONENT_ID:2033","PHOSPHORUS","M",256,4608,3,5
"KUH|COMPONENT_ID:2033","PHOSPHORUS","M",4608,25600,2,4
"KUH|COMPONENT_ID:3053","PLATELET COUNT","F",0,25600,150,400
"KUH|COMPONENT_ID:3008","PLATELET COUNT","F",0,25600,150,400
"KUH|COMPONENT_ID:3053","PLATELET COUNT","M",0,25600,150,400
"KUH|COMPONENT_ID:3008","PLATELET COUNT","M",0,25600,150,400
"KUH|COMPONENT_ID:4005","PO2, ART POC","F",0,1,54,90
"KUH|COMPONENT_ID:4005","PO2, ART POC","F",1,25600,80,100
"KUH|COMPONENT_ID:4005","PO2, ART POC","M",0,1,54,90
"KUH|COMPONENT_ID:4005","PO2, ART POC","M",1,25600,80,100
"KUH|COMPONENT_ID:2002","POTASSIUM","F",0,25600,3.5,5.1
"KUH|COMPONENT_ID:2002","POTASSIUM","M",0,25600,3.5,5.1
"KUH|COMPONENT_ID:3085","PTT","F",0,25600,24,40
"KUH|COMPONENT_ID:3085","PTT","M",0,25600,24,40
