Code,Descriptive_Text
AAR,Afar
ABK,Abkhazian
ACE,Achinese
ACH,Acoli
ADA,Adangme
ADY,Adyghe
ADY,Adygei
AFR,Afrikaans
AIN,Ainu
AKA,Akan
ALE,Aleut
ALT,Southern Altai
AMH,Amharic
ANP,Angika
ARA,Arabic
ARG,Aragonese
ARN,Mapudungun
ARN,Mapuche
ARP,Arapaho
ARW,Arawak
ASM,Assamese
AST,Asturian
AST,Bable
AST,Leonese
AST,Asturleonese
AVA,Avaric
AWA,Awadhi
AYM,Aymara
AZE,Azerbaijani
BAK,Bashkir
BAL,Baluchi
BAM,Bambara
BAN,Balinese
BAS,Basa
BEJ,Beja
BEJ,Bedawiyet
BEL,Belarusian
BEM,Bemba
BEN,Bengali
BHO,Bhojpuri
BIK,Bikol
BIN,Bini
BIN,Edo
BIS,Bislama
BLA,Siksika
BOD,Tibetan
BOS,Bosnian
BRA,Braj
BRE,Breton
BUA,Buriat
BUG,Buginese
BUL,Bulgarian
BYN,Bilin
BYN,Blin
CAD,Caddo
CAR,Galibi Carib
CAT,Catalan
CAT,Valencian
CEB,Cebuano
CES,Czech
CHA,Chamorro
CHE,Chechen
CHK,Chuukese
CHM,Mari
CHN,Chinook jargon
CHO,Choctaw
CHP,Chipewyan
CHP,Dene Suline
CHR,Cherokee
CHV,Chuvash
CHY,Cheyenne
COR,Cornish
COS,Corsican
CRE,Cree
CRH,Crimean Tatar
CRH,Crimean Turkish
CSB,Kashubian
CYM,Welsh
DAK,Dakota
DAN,Danish
DAR,Dargwa
DEL,Delaware
DEN,Slave (Athapascan)
DEU,German
DGR,Dogrib
DIN,Dinka
DIV,Dhivehi
DIV,Dhivehi
DIV,Maldivian
DOI,Dogri
DSB,Lower Sorbian
DUA,Duala
DYU,Dyula
DZO,Dzongkha
EFI,Efik
EKA,Ekajuk
ELL,Modern Greek (1453–)
ENG,English
EST,Estonian
EUS,Basque
EWE,Ewe
EWO,Ewondo
FAN,Fang
FAO,Faroese
FAS,Persian
FAT,Fanti
FIJ,Fijian
FIL,Filipino
FIL,Pilipino
FIN,Finnish
FON,Fon
FRA,French
FRR,Northern Frisian
FRS,Eastern Frisian
FRY,Western Frisian
FUL,Fulah
FUR,Friulian
GAA,Ga
GAY,Gayo
GBA,Gbaya
GIL,Gilbertese
GLA,Gaelic
GLA,Scottish Gaelic
GLE,Irish
GLG,Galician
GLV,Manx
GON,Gondi
GOR,Gorontalo
GRB,Grebo
GRN,Guarani
GSW,Swiss German
GSW,Alemannic
GSW,Alsatian
GUJ,Gujarati
GWI,Gwich'in
HAI,Haida
HAT,Haitian
HAT,Haitian Creole
HAU,Hausa
HAW,Hawaiian
HEB,Hebrew
HER,Herero
HIL,Hiligaynon
HIN,Hindi
HMN,Hmong
HMN,Mong
HMO,Hiri Motu
HRV,Croatian
HSB,Upper Sorbian
HUN,Hungarian
HUP,Hupa
HYE,Armenian
IBA,Iban
IBO,Igbo
III,Sichuan Yi
III,Nuosu
IKU,Inuktitut
ILO,Iloko
IND,Indonesian
INH,Ingush
IPK,Inupiaq
ISL,Icelandic
ITA,Italian
JAV,Javanese
JPN,Japanese
JPR,Judeo-Persian
JRB,Judeo-Arabic
KAA,Kara-Kalpak
KAB,Kabyle
KAC,Kachin
KAC,Jingpho
KAL,Kalaallisut
KAL,Greenlandic
KAM,Kamba
KAN,Kannada
KAS,Kashmiri
KAT,Georgian
KAU,Kanuri
KAZ,Kazakh
KBD,Kabardian
KHA,Khasi
KHM,Central Khmer
KIK,Kikuyu
KIK,Gikuyu
KIN,Kinyarwanda
KIR,Kirghiz
KIR,Kyrgyz
KMB,Kimbundu
KOK,Konkani
KOM,Komi
KON,Kongo
KOR,Korean
KOS,Kosraean
KPE,Kpelle
KRC,Karachay-Balkar
KRL,Karelian
KRU,Kurukh
KUA,Kuanyama
KUA,Kwanyama
KUM,Kumyk
KUR,Kurdish
KUT,Kutenai
LAD,Ladino
LAH,Lahnda
LAM,Lamba
LAO,Lao
LAV,Latvian
LEZ,Lezghian
LIM,Limburgan
LIM,Limburger
LIM,Limburgish
LIN,Lingala
LIT,Lithuanian
LOL,Mongo
LOZ,Lozi
LTZ,Luxembourgish
LTZ,Letzeburgesch
LUA,Luba-Lulua
LUB,Luba-Katanga
LUG,Ganda
LUI,Luiseno
LUN,Lunda
LUO,Luo (Kenya and Tanzania)
LUS,Lushai
MAD,Madurese
MAG,Magahi
MAH,Marshallese
MAI,Maithili
MAK,Makasar
MAL,Malayalam
MAN,Mandingo
MAR,Marathi
MAS,Masai
MDF,Moksha
MDR,Mandar
MEN,Mende
MIC,Mi'kmaq
MIC,Micmac
MIN,Minangkabau
MKD,Macedonian
MLG,Malagasy
MLT,Maltese
MNC,Manchu
MNI,Manipuri
MOH,Mohawk
MON,Mongolian
MOS,Mossi
MRI,Maori
MSA,Malay
MUS,Creek
MWL,Mirandese
MWR,Marwari
MYA,Burmese
MYV,Erzya
NAP,Neapolitan
NAU,Nauru
NAV,Navajo
NAV,Navaho
NBL,South Ndebele
NDE,North Ndebele
NDO,Ndonga
NDS,Low German
NDS,Low Saxon
NEP,Nepali
NEW,Nepal Bhasa
NEW,Newari
NIA,Nias
NIU,Niuean
NLD,Dutch
NLD,Flemish
NNO,Norwegian Nynorsk
NOB,Norwegian Bokmål
NOG,Nogai
NOR,Norwegian
NQO,N'Ko
NSO,Pedi
NSO,Sepedi
NSO,Northern Sotho
NYA,Chichewa
NYA,Chewa
NYA,Nyanja
NYM,Nyamwezi
NYN,Nyankole
NYO,Nyoro
NZI,Nzima
OCI,Occitan (post 1500)
OJI,Ojibwa
ORI,Oriya
ORM,Oromo
OSA,Osage
OSS,Ossetian
OSS,Ossetic
PAG,Pangasinan
PAM,Pampanga
PAM,Kapampangan
PAN,Panjabi
PAN,Punjabi
PAP,Papiamento
PAU,Palauan
POL,Polish
PON,Pohnpeian
POR,Portuguese
PUS,Pushto
PUS,Pashto
QUE,Quechua
RAJ,Rajasthani
RAP,Rapanui
RAR,Rarotongan
RAR,Cook Islands Maori
ROH,Romansh
ROM,Romany
RON,Romanian
RON,Moldavian
RON,Moldovan
RUN,Rundi
RUP,Aromanian
RUP,Arumanian
RUP,Macedo-Romanian
RUS,Russian
SAD,Sandawe
SAG,Sango
SAH,Yakut
SAS,Sasak
SAT,Santali
SCN,Sicilian
SCO,Scots
SEL,Selkup
SHN,Shan
SID,Sidamo
SIN,Sinhala
SIN,Sinhalese
SLK,Slovak
SLV,Slovenian
SMA,Southern Sami
SME,Northern Sami
SMJ,Lule Sami
SMN,Inari Sami
SMO,Samoan
SMS,Skolt Sami
SNA,Shona
SND,Sindhi
SNK,Soninke
SOM,Somali
SOT,Southern Sotho
SPA,Spanish
SPA,Castilian
SQI,Albanian
SRD,Sardinian
SRN,Sranan Tongo
SRP,Serbian
SRR,Serer
SSW,Swati
SUK,Sukuma
SUN,Sundanese
SUS,Susu
SWA,Swahili
SWE,Swedish
SYR,Syriac
TAH,Tahitian
TAM,Tamil
TAT,Tatar
TEL,Telugu
TEM,Timne
TER,Tereno
TET,Tetum
TGK,Tajik
TGL,Tagalog
THA,Thai
TIG,Tigre
TIR,Tigrinya
TIV,Tiv
TKL,Tokelau
TLI,Tlingit
TMH,Tamashek
TOG,Tonga (Nyasa)
TON,Tonga (Tonga Islands)
TPI,Tok Pisin
TSI,Tsimshian
TSN,Tswana
TSO,Tsonga
TUK,Turkmen
TUM,Tumbuka
TUR,Turkish
TVL,Tuvalua
TWI,Twi
TYV,Tuvinian
UDM,Udmurt
UIG,Uighur
UIG,Uyghur
UKR,Ukrainian
UMB,Umbundu
URD,Urdu
UZB,Uzbek
VAI,Vai
VEN,Venda
VIE,Vietnamese
VOT,Votic
WAL,Wolaitta
WAL,Wolaytta
WAR,Waray
WAS,Washo
WLN,Walloon
WOL,Wolof
XAL,Kalmyk
XAL,Oirat
XHO,Xhosa
YAO,Yao
YAP,Yapese
YID,Yiddish
YOR,Yoruba
ZAP,Zapotec
ZEN,Zenaga
ZGH,Standard Moroccan Tamazight
ZHA,Zhuang
ZHA,Chuang
ZHO,Chinese
ZUL,Zulu
ZUN,Zuni
ZZA,Zaza
ZZA,Dimili
ZZA,Dimli
ZZA,Kirdki
ZZA,Kirmanjki
ZZA,Zazaki
NI,No information
UN,Unknown
OT,Other
